0.17	0.075	0.0927	NAN	-0.0069525	NAN	NAN	
0.172	0.075	0.0849	NAN	-0.0063675	NAN	NAN	
0.174	0.075	0.07725	0.08469	-0.00579375	-0.00635175	NAN	
0.176	0.08	0.07965	NAN	-0.006372	NAN	NAN	
0.178	0.08	0.08895	NAN	-0.007116	NAN	NAN	
0.18	0.08	0.0924	NAN	-0.007392	NAN	NAN	
0.182	0.08	0.08445	NAN	-0.006756	NAN	NAN	
0.184	0.08	0.0774	0.08469	-0.006192	-0.0067752	NAN	
0.186	0.08	0.07995	NAN	-0.006396	NAN	NAN	
0.188	0.085	0.08925	NAN	-0.00758625	NAN	NAN	
0.19	0.085	0.0924	NAN	-0.007854	NAN	NAN	
0.192	0.085	0.08445	NAN	-0.00717825	NAN	NAN	
0.194	0.085	0.0774	0.0846	-0.006579	-0.007191	NAN	
0.196	0.085	0.0795	NAN	-0.0067575	NAN	NAN	
0.198	0.09	0.08925	NAN	-0.0080325	NAN	NAN	
0.2	0.09	0.09255	NAN	-0.0083295	NAN	NAN	
0.202	0.09	0.0849	NAN	-0.007641	NAN	NAN	
0.204	0.09	0.0774	0.08475	-0.006966	-0.0076275	NAN	
0.206	0.09	0.07965	NAN	-0.0071685	NAN	NAN	
0.208	0.09	0.08925	NAN	-0.0080325	NAN	NAN	
0.21	0.095	0.09255	NAN	-0.00879225	NAN	NAN	
0.212	0.095	0.08505	NAN	-0.00807975	NAN	NAN	
0.214	0.095	0.07755	0.08481	-0.00736725	-0.00805695	NAN	
0.216	0.095	0.0798	NAN	-0.007581	NAN	NAN	
0.218	0.095	0.0891	NAN	-0.0084645	NAN	NAN	
0.22	0.1	0.09225	NAN	-0.009225	NAN	NAN	
0.222	0.1	0.08475	NAN	-0.008475	NAN	NAN	
0.224	0.1	0.0774	0.08463	-0.00774	-0.008463	NAN	
0.226	0.1	0.07965	NAN	-0.007965	NAN	NAN	
0.228	0.1	0.0891	NAN	-0.00891	NAN	NAN	
0.23	0.1	0.0927	NAN	-0.00927	NAN	NAN	
0.232	0.105	0.0849	NAN	-0.0089145	NAN	NAN	
0.234	0.105	0.07725	0.08463	-0.00811125	-0.00888615	NAN	
0.236	0.105	0.07935	NAN	-0.00833175	NAN	NAN	
0.238	0.105	0.08895	NAN	-0.00933975	NAN	NAN	
0.24	0.105	0.09285	NAN	-0.00974925	NAN	NAN	
0.242	0.11	0.0849	NAN	-0.009339	NAN	NAN	
0.244	0.11	0.07725	0.08475	-0.0084975	-0.0093225	NAN	
0.246	0.11	0.0798	NAN	-0.008778	NAN	NAN	
0.248	0.11	0.08895	NAN	-0.0097845	NAN	NAN	
0.25	0.11	0.09225	NAN	-0.0101475	NAN	NAN	
0.252	0.11	0.0849	NAN	-0.009339	NAN	NAN	
0.254	0.115	0.0777	0.08469	-0.0089355	-0.00973935	NAN	
0.256	0.115	0.0795	NAN	-0.0091425	NAN	NAN	
0.258	0.115	0.0891	NAN	-0.0102465	NAN	NAN	
0.26	0.115	0.09255	NAN	-0.01064325	NAN	NAN	
0.262	0.115	0.08475	NAN	-0.00974625	NAN	NAN	
0.264	0.12	0.0771	0.0846	-0.009252	-0.010152	NAN	
0.266	0.12	0.07935	NAN	-0.009522	NAN	NAN	
0.268	0.12	0.08925	NAN	-0.01071	NAN	NAN	
0.27	0.12	0.09285	NAN	-0.011142	NAN	NAN	
0.272	0.12	0.0849	NAN	-0.010188	NAN	NAN	
0.274	0.12	0.07725	0.08469	-0.00927	-0.0101628	NAN	
0.276	0.125	0.07935	NAN	-0.00991875	NAN	NAN	
0.278	0.125	0.0891	NAN	-0.0111375	NAN	NAN	
0.28	0.125	0.0924	NAN	-0.01155	NAN	NAN	
0.282	0.125	0.08505	NAN	-0.01063125	NAN	NAN	
0.284	0.125	0.0777	0.08475	-0.0097125	-0.01059375	NAN	
0.286	0.13	0.07965	NAN	-0.0103545	NAN	NAN	
0.288	0.13	0.08895	NAN	-0.0115635	NAN	NAN	
0.29	0.13	0.09255	NAN	-0.0120315	NAN	NAN	
0.292	0.13	0.08505	NAN	-0.0110565	NAN	NAN	
0.294	0.13	0.0774	0.08466	-0.010062	-0.0110058	NAN	
0.296	0.13	0.07935	NAN	-0.0103155	NAN	NAN	
0.298	0.135	0.08895	NAN	-0.01200825	NAN	NAN	
0.3	0.135	0.09285	NAN	-0.01253475	NAN	NAN	
0.302	0.135	0.0849	NAN	-0.0114615	NAN	NAN	
0.304	0.135	0.0774	0.08463	-0.010449	-0.01142505	NAN	
0.306	0.135	0.07935	NAN	-0.01071225	NAN	NAN	
0.308	0.14	0.08865	NAN	-0.012411	NAN	NAN	
0.31	0.14	0.09255	NAN	-0.012957	NAN	NAN	
0.312	0.14	0.0852	NAN	-0.011928	NAN	NAN	
0.314	0.14	0.07755	0.08457	-0.010857	-0.0118398	NAN	
0.316	0.14	0.0792	NAN	-0.011088	NAN	NAN	
