350	0.155	0.0012	NAN	
352	0.16	0.0012	NAN	
354	0.16	0.0012	NAN	
356	0.16	0.0012	NAN	
358	0.16	0.0012	NAN	
360	0.16	0.0012	NAN	
362	0.165	0.00135	NAN	
364	0.165	0.00135	NAN	
366	0.165	0.0015	NAN	
368	0.165	0.0015	NAN	
370	0.165	0.00135	NAN	
372	0.165	0.00105	NAN	
374	0.17	0.0012	NAN	
376	0.17	0.0015	NAN	
378	0.17	0.0015	NAN	
380	0.17	0.0015	NAN	
382	0.17	0.0012	NAN	
384	0.175	0.0015	NAN	
386	0.175	0.00135	NAN	
388	0.175	0.0015	NAN	
390	0.175	0.0015	NAN	
392	0.175	0.0015	NAN	
394	0.175	0.0015	NAN	
396	0.18	0.00135	NAN	
398	0.18	0.0012	NAN	
400	0.18	0.00135	NAN	
402	0.18	0.0012	NAN	
404	0.18	0.00135	NAN	
406	0.185	0.0015	NAN	
408	0.185	0.0012	NAN	
410	0.185	0.0015	NAN	
412	0.185	0.0015	NAN	
414	0.185	0.00135	NAN	
416	0.185	0.0012	NAN	
418	0.19	0.00105	NAN	
420	0.19	0.0012	NAN	
422	0.19	0.00135	NAN	
424	0.19	0.00105	NAN	
426	0.19	0.0015	NAN	
428	0.195	0.00135	NAN	
430	0.195	0.0015	NAN	
432	0.195	0.00135	NAN	
434	0.195	0.0012	NAN	
436	0.195	0.00135	NAN	
438	0.195	0.00135	NAN	
440	0.2	0.0012	NAN	
442	0.2	0.00105	NAN	
444	0.2	0.0012	NAN	
446	0.2	0.0012	NAN	
448	0.2	0.0012	NAN	
450	0.205	0.00135	NAN	
452	0.205	0.00135	NAN	
454	0.205	0.00135	NAN	
456	0.205	0.0012	NAN	
458	0.205	0.00135	NAN	
460	0.205	0.00135	NAN	
462	0.21	0.00135	NAN	
464	0.21	0.00135	NAN	
466	0.21	0.0015	NAN	
468	0.21	0.00135	NAN	
470	0.21	0.00135	NAN	
472	0.215	0.00135	NAN	
474	0.215	0.00135	NAN	
476	0.215	0.00135	NAN	
478	0.215	0.0015	NAN	
480	0.215	0.0015	NAN	
482	0.215	0.00135	NAN	
484	0.22	0.00135	NAN	
486	0.22	0.0015	NAN	
488	0.22	0.0015	NAN	
490	0.22	0.00135	NAN	
492	0.22	0.0012	NAN	
494	0.225	0.0015	NAN	
496	0.225	0.0015	NAN	
498	0.225	0.0015	NAN	
500	0.225	0.0015	NAN	
502	0.225	0.00135	NAN	
504	0.225	0.00135	NAN	
506	0.23	0.0012	NAN	
508	0.23	0.0012	NAN	
510	0.23	0.00135	NAN	
512	0.23	0.0012	NAN	
514	0.23	0.00135	NAN	
516	0.235	0.00135	NAN	
518	0.235	0.0012	NAN	
520	0.235	0.00135	NAN	
522	0.235	0.0015	NAN	
524	0.235	0.0012	NAN	
526	0.235	0.0012	NAN	
528	0.24	0.0012	NAN	
530	0.24	0.0012	NAN	
532	0.24	0.0012	NAN	
534	0.24	0.0012	NAN	
536	0.24	0.00135	NAN	
538	0.245	0.0012	NAN	
540	0.245	0.0012	NAN	
542	0.245	0.00135	NAN	
544	0.245	0.00135	NAN	
546	0.245	0.00135	NAN	
548	0.245	0.00135	NAN	
550	0.25	0.0012	NAN	
552	0.25	0.00135	NAN	
554	0.25	0.00135	NAN	
556	0.25	0.00135	NAN	
558	0.25	0.00135	NAN	
560	0.255	0.00135	NAN	
562	0.255	0.0015	NAN	
