0.16	0.07	0.0663	NAN	-0.004641	NAN	NAN	
0.162	0.07	0.0594	NAN	-0.004158	NAN	NAN	
0.164	0.07	0.0582	0.06372	-0.004074	-0.0044604	NAN	
0.166	0.075	0.0645	NAN	-0.0048375	NAN	NAN	
0.168	0.075	0.0702	NAN	-0.005265	NAN	NAN	
0.17	0.075	0.0663	NAN	-0.0049725	NAN	NAN	
0.172	0.075	0.0594	NAN	-0.004455	NAN	NAN	
0.174	0.075	0.05835	0.06366	-0.00437625	-0.0047745	NAN	
0.176	0.08	0.06435	NAN	-0.005148	NAN	NAN	
0.178	0.08	0.0699	NAN	-0.005592	NAN	NAN	
0.18	0.08	0.06645	NAN	-0.005316	NAN	NAN	
0.182	0.08	0.0594	NAN	-0.004752	NAN	NAN	
0.184	0.08	0.0582	0.06372	-0.004656	-0.0050976	NAN	
0.186	0.08	0.0645	NAN	-0.00516	NAN	NAN	
0.188	0.085	0.07005	NAN	-0.00595425	NAN	NAN	
0.19	0.085	0.06645	NAN	-0.00564825	NAN	NAN	
0.192	0.085	0.0591	NAN	-0.0050235	NAN	NAN	
0.194	0.085	0.05835	0.06366	-0.00495975	-0.0054111	NAN	
0.196	0.085	0.0645	NAN	-0.0054825	NAN	NAN	
0.198	0.09	0.0699	NAN	-0.006291	NAN	NAN	
0.2	0.09	0.06645	NAN	-0.0059805	NAN	NAN	
0.202	0.09	0.0594	NAN	-0.005346	NAN	NAN	
0.204	0.09	0.0582	0.06366	-0.005238	-0.0057294	NAN	
0.206	0.09	0.0642	NAN	-0.005778	NAN	NAN	
0.208	0.09	0.07005	NAN	-0.0063045	NAN	NAN	
0.21	0.095	0.0663	NAN	-0.0062985	NAN	NAN	
0.212	0.095	0.05925	NAN	-0.00562875	NAN	NAN	
0.214	0.095	0.05835	0.0636	-0.00554325	-0.006042	NAN	
0.216	0.095	0.0642	NAN	-0.006099	NAN	NAN	
0.218	0.095	0.0699	NAN	-0.0066405	NAN	NAN	
0.22	0.1	0.0666	NAN	-0.00666	NAN	NAN	
0.222	0.1	0.05925	NAN	-0.005925	NAN	NAN	
0.224	0.1	0.05835	0.06369	-0.005835	-0.006369	NAN	
0.226	0.1	0.0642	NAN	-0.00642	NAN	NAN	
0.228	0.1	0.07005	NAN	-0.007005	NAN	NAN	
0.23	0.1	0.0666	NAN	-0.00666	NAN	NAN	
0.232	0.105	0.0594	NAN	-0.006237	NAN	NAN	
0.234	0.105	0.0585	0.06375	-0.0061425	-0.00669375	NAN	
0.236	0.105	0.06435	NAN	-0.00675675	NAN	NAN	
0.238	0.105	0.0699	NAN	-0.0073395	NAN	NAN	
0.24	0.105	0.0669	NAN	-0.0070245	NAN	NAN	
0.242	0.11	0.0594	NAN	-0.006534	NAN	NAN	
0.244	0.11	0.0585	0.06384	-0.006435	-0.0070224	NAN	
0.246	0.11	0.06435	NAN	-0.0070785	NAN	NAN	
0.248	0.11	0.07005	NAN	-0.0077055	NAN	NAN	
0.25	0.11	0.0669	NAN	-0.007359	NAN	NAN	
0.252	0.11	0.0597	NAN	-0.006567	NAN	NAN	
0.254	0.115	0.0588	0.06405	-0.006762	-0.00736575	NAN	
0.256	0.115	0.06465	NAN	-0.00743475	NAN	NAN	
0.258	0.115	0.0702	NAN	-0.008073	NAN	NAN	
0.26	0.115	0.0672	NAN	-0.007728	NAN	NAN	
0.262	0.115	0.05985	NAN	-0.00688275	NAN	NAN	
0.264	0.12	0.0585	0.06414	-0.00702	-0.0076968	NAN	
0.266	0.12	0.06465	NAN	-0.007758	NAN	NAN	
0.268	0.12	0.0705	NAN	-0.00846	NAN	NAN	
0.27	0.12	0.0669	NAN	-0.008028	NAN	NAN	
0.272	0.12	0.0597	NAN	-0.007164	NAN	NAN	
0.274	0.12	0.05835	0.0639	-0.007002	-0.007668	NAN	
0.276	0.125	0.0642	NAN	-0.008025	NAN	NAN	
0.278	0.125	0.07035	NAN	-0.00879375	NAN	NAN	
0.28	0.125	0.0669	NAN	-0.0083625	NAN	NAN	
0.282	0.125	0.0597	NAN	-0.0074625	NAN	NAN	
0.284	0.125	0.0588	0.06408	-0.00735	-0.00801	NAN	
0.286	0.13	0.06465	NAN	-0.0084045	NAN	NAN	
0.288	0.13	0.07035	NAN	-0.0091455	NAN	NAN	
0.29	0.13	0.0669	NAN	-0.008697	NAN	NAN	
0.292	0.13	0.0597	NAN	-0.007761	NAN	NAN	
0.294	0.13	0.05865	0.06399	-0.0076245	-0.0083187	NAN	
0.296	0.13	0.0645	NAN	-0.008385	NAN	NAN	
0.298	0.135	0.0702	NAN	-0.009477	NAN	NAN	
0.3	0.135	0.06735	NAN	-0.00909225	NAN	NAN	
0.302	0.135	0.0597	NAN	-0.0080595	NAN	NAN	
0.304	0.135	0.0585	0.06405	-0.0078975	-0.00864675	NAN	
0.306	0.135	0.06435	NAN	-0.00868725	NAN	NAN	
0.308	0.14	0.07035	NAN	-0.009849	NAN	NAN	
0.31	0.14	0.0672	NAN	-0.009408	NAN	NAN	
0.312	0.14	0.05985	NAN	-0.008379	NAN	NAN	
0.314	0.14	0.05865	0.06402	-0.008211	-0.0089628	NAN	
0.316	0.14	0.06405	NAN	-0.008967	NAN	NAN	
0.318	0.145	0.07035	NAN	-0.01020075	NAN	NAN	
0.32	0.145	0.06705	NAN	-0.00972225	NAN	NAN	
0.322	0.145	0.06015	NAN	-0.00872175	NAN	NAN	
0.324	0.145	0.05865	0.06408	-0.00850425	-0.0092916	NAN	
0.326	0.145	0.0642	NAN	-0.009309	NAN	NAN	
0.328	0.145	0.07035	NAN	-0.01020075	NAN	NAN	
0.33	0.15	0.06735	NAN	-0.0101025	NAN	NAN	
0.332	0.15	0.06015	NAN	-0.0090225	NAN	NAN	
0.334	0.15	0.05835	0.06411	-0.0087525	-0.0096165	NAN	
0.336	0.15	0.06435	NAN	-0.0096525	NAN	NAN	
0.338	0.15	0.07035	NAN	-0.0105525	NAN	NAN	
0.34	0.155	0.06735	NAN	-0.01043925	NAN	NAN	
0.342	0.155	0.06015	NAN	-0.00932325	NAN	NAN	
0.344	0.155	0.0585	0.06402	-0.0090675	-0.0099231	NAN	
0.346	0.155	0.06405	NAN	-0.00992775	NAN	NAN	
0.348	0.155	0.07005	NAN	-0.01085775	NAN	NAN	
0.35	0.155	0.0669	NAN	-0.0103695	NAN	NAN	
0.352	0.16	0.06	NAN	-0.0096	NAN	NAN	
0.354	0.16	0.0582	0.06381	-0.009312	-0.0102096	NAN	
0.356	0.16	0.0639	NAN	-0.010224	NAN	NAN	
0.358	0.16	0.07005	NAN	-0.011208	NAN	NAN	
0.36	0.16	0.06705	NAN	-0.010728	NAN	NAN	
0.362	0.165	0.05985	NAN	-0.00987525	NAN	NAN	
0.364	0.165	0.05835	0.0639	-0.00962775	-0.0105435	NAN	
0.366	0.165	0.0642	NAN	-0.010593	NAN	NAN	
0.368	0.165	0.07005	NAN	-0.01155825	NAN	NAN	
0.37	0.165	0.0672	NAN	-0.011088	NAN	NAN	
0.372	0.165	0.06	NAN	-0.0099	NAN	NAN	
0.374	0.17	0.05835	0.06387	-0.0099195	-0.0108579	NAN	
0.376	0.17	0.0639	NAN	-0.010863	NAN	NAN	
0.378	0.17	0.0699	NAN	-0.011883	NAN	NAN	
0.38	0.17	0.06705	NAN	-0.0113985	NAN	NAN	
0.382	0.17	0.06	NAN	-0.0102	NAN	NAN	
0.384	0.175	0.0582	0.06375	-0.010185	-0.01115625	NAN	
0.386	0.175	0.0636	NAN	-0.01113	NAN	NAN	
0.388	0.175	0.0699	NAN	-0.0122325	NAN	NAN	
0.39	0.175	0.0672	NAN	-0.01176	NAN	NAN	
0.392	0.175	0.05985	NAN	-0.01047375	NAN	NAN	
0.394	0.175	0.0582	0.06381	-0.010185	-0.01116675	NAN	
0.396	0.18	0.0639	NAN	-0.011502	NAN	NAN	
0.398	0.18	0.0699	NAN	-0.012582	NAN	NAN	
0.4	0.18	0.0669	NAN	-0.012042	NAN	NAN	
0.402	0.18	0.0597	NAN	-0.010746	NAN	NAN	
0.404	0.18	0.05805	0.06366	-0.010449	-0.0114588	NAN	
0.406	0.185	0.06375	NAN	-0.01179375	NAN	NAN	
0.408	0.185	0.0699	NAN	-0.0129315	NAN	NAN	
0.41	0.185	0.06735	NAN	-0.01245975	NAN	NAN	
0.412	0.185	0.05985	NAN	-0.01107225	NAN	NAN	
0.414	0.185	0.05835	0.06384	-0.01079475	-0.0118104	NAN	
0.416	0.185	0.0639	NAN	-0.0118215	NAN	NAN	
0.418	0.19	0.06975	NAN	-0.0132525	NAN	NAN	
0.42	0.19	0.06735	NAN	-0.0127965	NAN	NAN	
0.422	0.19	0.0603	NAN	-0.011457	NAN	NAN	
0.424	0.19	0.0582	0.06396	-0.011058	-0.0121524	NAN	
0.426	0.19	0.06375	NAN	-0.0121125	NAN	NAN	
0.428	0.195	0.0702	NAN	-0.013689	NAN	NAN	
0.43	0.195	0.06735	NAN	-0.01313325	NAN	NAN	
0.432	0.195	0.06015	NAN	-0.01172925	NAN	NAN	
0.434	0.195	0.0585	0.06396	-0.0114075	-0.0124722	NAN	
0.436	0.195	0.06375	NAN	-0.01243125	NAN	NAN	
0.438	0.195	0.07005	NAN	-0.01365975	NAN	NAN	
0.44	0.2	0.0675	NAN	-0.0135	NAN	NAN	
0.442	0.2	0.06015	NAN	-0.01203	NAN	NAN	
0.444	0.2	0.05835	0.06402	-0.01167	-0.012804	NAN	
0.446	0.2	0.06375	NAN	-0.01275	NAN	NAN	
0.448	0.2	0.07035	NAN	-0.01407	NAN	NAN	
0.45	0.205	0.0675	NAN	-0.0138375	NAN	NAN	
0.452	0.205	0.0603	NAN	-0.0123615	NAN	NAN	
0.454	0.205	0.0585	0.06408	-0.0119925	-0.0131364	NAN	
0.456	0.205	0.0639	NAN	-0.0130995	NAN	NAN	
0.458	0.205	0.0702	NAN	-0.014391	NAN	NAN	
0.46	0.205	0.0678	NAN	-0.013899	NAN	NAN	
0.462	0.21	0.06045	NAN	-0.0126945	NAN	NAN	
0.464	0.21	0.0588	0.0642	-0.012348	-0.013482	NAN	
0.466	0.21	0.06375	NAN	-0.0133875	NAN	NAN	
0.468	0.21	0.0702	NAN	-0.014742	NAN	NAN	
0.47	0.21	0.0675	NAN	-0.014175	NAN	NAN	
0.472	0.215	0.0603	NAN	-0.0129645	NAN	NAN	
0.474	0.215	0.0585	0.06408	-0.0125775	-0.0137772	NAN	
0.476	0.215	0.0639	NAN	-0.0137385	NAN	NAN	
0.478	0.215	0.0702	NAN	-0.015093	NAN	NAN	
0.48	0.215	0.06765	NAN	-0.01454475	NAN	NAN	
0.482	0.215	0.06045	NAN	-0.01299675	NAN	NAN	
0.484	0.22	0.0585	0.0642	-0.01287	-0.014124	NAN	
0.486	0.22	0.06405	NAN	-0.014091	NAN	NAN	
0.488	0.22	0.07035	NAN	-0.015477	NAN	NAN	
0.49	0.22	0.06765	NAN	-0.014883	NAN	NAN	
0.492	0.22	0.0606	NAN	-0.013332	NAN	NAN	
0.494	0.225	0.0585	0.06411	-0.0131625	-0.01442475	NAN	
0.496	0.225	0.0636	NAN	-0.01431	NAN	NAN	
0.498	0.225	0.0702	NAN	-0.015795	NAN	NAN	
0.5	0.225	0.0678	NAN	-0.015255	NAN	NAN	
0.502	0.225	0.06045	NAN	-0.01360125	NAN	NAN	
0.504	0.225	0.0585	0.0642	-0.0131625	-0.014445	NAN	
0.506	0.23	0.0639	NAN	-0.014697	NAN	NAN	
0.508	0.23	0.07035	NAN	-0.0161805	NAN	NAN	
0.51	0.23	0.0678	NAN	-0.015594	NAN	NAN	
0.512	0.23	0.06045	NAN	-0.0139035	NAN	NAN	
0.514	0.23	0.0585	0.06417	-0.013455	-0.0147591	NAN	
0.516	0.235	0.0639	NAN	-0.0150165	NAN	NAN	
0.518	0.235	0.0702	NAN	-0.016497	NAN	NAN	
0.52	0.235	0.06795	NAN	-0.01596825	NAN	NAN	
0.522	0.235	0.06045	NAN	-0.01420575	NAN	NAN	
0.524	0.235	0.05865	0.06411	-0.01378275	-0.01506585	NAN	
0.526	0.235	0.0633	NAN	-0.0148755	NAN	NAN	
0.528	0.24	0.0702	NAN	-0.016848	NAN	NAN	
0.53	0.24	0.0678	NAN	-0.016272	NAN	NAN	
0.532	0.24	0.06045	NAN	-0.014508	NAN	NAN	
0.534	0.24	0.0582	0.06402	-0.013968	-0.0153648	NAN	
0.536	0.24	0.0636	NAN	-0.015264	NAN	NAN	
0.538	0.245	0.07005	NAN	-0.01716225	NAN	NAN	
0.54	0.245	0.06795	NAN	-0.01664775	NAN	NAN	
0.542	0.245	0.06045	NAN	-0.01481025	NAN	NAN	
0.544	0.245	0.05835	0.06411	-0.01429575	-0.01570695	NAN	
0.546	0.245	0.06345	NAN	-0.01554525	NAN	NAN	
0.548	0.245	0.07035	NAN	-0.01723575	NAN	NAN	
0.55	0.25	0.0678	NAN	-0.01695	NAN	NAN	
0.552	0.25	0.06045	NAN	-0.0151125	NAN	NAN	
0.554	0.25	0.0582	0.06384	-0.01455	-0.01596	NAN	
0.556	0.25	0.06315	NAN	-0.0157875	NAN	NAN	
0.558	0.25	0.0696	NAN	-0.0174	NAN	NAN	
0.56	0.255	0.06795	NAN	-0.01732725	NAN	NAN	
0.562	0.255	0.06075	NAN	-0.01549125	NAN	NAN	
0.564	0.255	0.0582	0.06396	-0.014841	-0.0163098	NAN	
0.566	0.255	0.063	NAN	-0.016065	NAN	NAN	
0.568	0.255	0.0699	NAN	-0.0178245	NAN	NAN	
0.57	0.255	0.0675	NAN	-0.0172125	NAN	NAN	
0.572	0.26	0.06045	NAN	-0.015717	NAN	NAN	
0.574	0.26	0.0582	0.06384	-0.015132	-0.0165984	NAN	
0.576	0.26	0.0633	NAN	-0.016458	NAN	NAN	
0.578	0.26	0.06975	NAN	-0.018135	NAN	NAN	
0.58	0.26	0.0675	NAN	-0.01755	NAN	NAN	
0.582	0.265	0.06045	NAN	-0.01601925	NAN	NAN	
0.584	0.265	0.0582	0.06378	-0.015423	-0.0169017	NAN	
0.586	0.265	0.063	NAN	-0.016695	NAN	NAN	
0.588	0.265	0.06975	NAN	-0.01848375	NAN	NAN	
0.59	0.265	0.0675	NAN	-0.0178875	NAN	NAN	
0.592	0.265	0.06045	NAN	-0.01601925	NAN	NAN	
0.594	0.27	0.0582	0.06381	-0.015714	-0.0172287	NAN	
0.596	0.27	0.063	NAN	-0.01701	NAN	NAN	
0.598	0.27	0.0699	NAN	-0.018873	NAN	NAN	
0.6	0.27	0.06765	NAN	-0.0182655	NAN	NAN	
0.602	0.27	0.06045	NAN	-0.0163215	NAN	NAN	
0.604	0.275	0.0582	0.06375	-0.016005	-0.01753125	NAN	
0.606	0.275	0.06285	NAN	-0.01728375	NAN	NAN	
0.608	0.275	0.0696	NAN	-0.01914	NAN	NAN	
0.61	0.275	0.0678	NAN	-0.018645	NAN	NAN	
0.612	0.275	0.0606	NAN	-0.016665	NAN	NAN	
0.614	0.275	0.05805	0.06378	-0.01596375	-0.0175395	NAN	
0.616	0.28	0.06285	NAN	-0.017598	NAN	NAN	
0.618	0.28	0.0696	NAN	-0.019488	NAN	NAN	
0.62	0.28	0.0678	NAN	-0.018984	NAN	NAN	
0.622	0.28	0.06075	NAN	-0.01701	NAN	NAN	
0.624	0.28	0.0582	0.06387	-0.016296	-0.0178836	NAN	
0.626	0.285	0.063	NAN	-0.017955	NAN	NAN	
0.628	0.285	0.0696	NAN	-0.019836	NAN	NAN	
0.63	0.285	0.0681	NAN	-0.0194085	NAN	NAN	
0.632	0.285	0.06105	NAN	-0.01739925	NAN	NAN	
0.634	0.285	0.0582	0.06405	-0.016587	-0.01825425	NAN	
0.636	0.29	0.0633	NAN	-0.018357	NAN	NAN	
0.638	0.29	0.0696	NAN	-0.020184	NAN	NAN	
0.64	0.29	0.0678	NAN	-0.019662	NAN	NAN	
0.642	0.29	0.06075	NAN	-0.0176175	NAN	NAN	
0.644	0.29	0.0579	0.06384	-0.016791	-0.0185136	NAN	
0.646	0.29	0.063	NAN	-0.01827	NAN	NAN	
0.648	0.295	0.06975	NAN	-0.02057625	NAN	NAN	
0.65	0.295	0.0681	NAN	-0.0200895	NAN	NAN	
0.652	0.295	0.0609	NAN	-0.0179655	NAN	NAN	
0.654	0.295	0.0582	0.06399	-0.017169	-0.01887705	NAN	
0.656	0.295	0.063	NAN	-0.018585	NAN	NAN	
0.658	0.3	0.06975	NAN	-0.020925	NAN	NAN	
0.66	0.3	0.0681	NAN	-0.02043	NAN	NAN	
0.662	0.3	0.0612	NAN	-0.01836	NAN	NAN	
0.664	0.3	0.05835	0.0642	-0.017505	-0.01926	NAN	
0.666	0.3	0.0633	NAN	-0.01899	NAN	NAN	
0.668	0.3	0.07005	NAN	-0.021015	NAN	NAN	
0.67	0.305	0.06825	NAN	-0.02081625	NAN	NAN	
0.672	0.305	0.06105	NAN	-0.01862025	NAN	NAN	
0.674	0.305	0.05835	0.06408	-0.01779675	-0.0195444	NAN	
0.676	0.305	0.06285	NAN	-0.01916925	NAN	NAN	
0.678	0.305	0.0699	NAN	-0.0213195	NAN	NAN	
0.68	0.31	0.06825	NAN	-0.0211575	NAN	NAN	
0.682	0.31	0.06105	NAN	-0.0189255	NAN	NAN	
0.684	0.31	0.0582	0.06411	-0.018042	-0.0198741	NAN	
0.686	0.31	0.06315	NAN	-0.0195765	NAN	NAN	
0.688	0.31	0.0699	NAN	-0.021669	NAN	NAN	
0.69	0.31	0.06825	NAN	-0.0211575	NAN	NAN	
0.692	0.315	0.0612	NAN	-0.019278	NAN	NAN	
0.694	0.315	0.05805	0.06405	-0.01828575	-0.02017575	NAN	
0.696	0.315	0.063	NAN	-0.019845	NAN	NAN	
0.698	0.315	0.06975	NAN	-0.02197125	NAN	NAN	
0.7	0.315	0.0681	NAN	-0.0214515	NAN	NAN	
