MIN=0	0	0	0	0	
MAX=5000	1	1	310	0.1	
SCALE=1000	0.5	0.5	100	0.05	
DEC=0	3	3	0	4	
DEF="Time" t / s	"Voltage" U_A1 / V	"Voltage" U_B1 / V	"Temperatur" T / K	"Frequency" f / Hz	
385	0.1505	0.173	122.65	NAN	
390	0.152	0.1725	121.15	NAN	
395	0.153	0.1705	120.15	NAN	
400	0.154	0.172	119.15	NAN	
405.008	0.1555	0.1725	117.65	NAN	
410	0.157	0.168	116.15	NAN	
415	0.1575	0.1705	115.65	NAN	
420	0.158	0.17	115.15	NAN	
425	0.159	0.1705	114.15	NAN	
430.007	0.16	0.167	113.15	NAN	
435	0.1625	0.17	110.65	NAN	
440	0.162	0.167	111.15	NAN	
445	0.162	0.166	111.15	NAN	
450	0.1645	0.1665	108.65	NAN	
455.007	0.1645	0.1675	108.65	NAN	
460	0.166	0.165	107.15	NAN	
465	0.165	0.163	108.15	NAN	
470	0.166	0.1625	107.15	NAN	
475	0.166	0.163	107.15	NAN	
480.005	0.169	0.1645	104.15	NAN	
485	0.1675	0.1645	105.65	NAN	
490	0.1695	0.1625	103.65	NAN	
495	0.1695	0.164	103.65	NAN	
500	0.1685	0.1615	104.65	NAN	
505.005	0.1715	0.162	101.65	NAN	
510	0.169	0.1565	104.15	NAN	
515	0.1715	0.1565	101.65	NAN	
520	0.1705	0.16	102.65	NAN	
525	0.1725	0.1585	100.65	NAN	
530.003	0.173	0.1585	100.15	NAN	
535	0.171	0.156	102.15	NAN	
540	0.1715	0.155	101.65	NAN	
545	0.1735	0.1545	99.65	NAN	
550	0.174	0.154	99.15	NAN	
555.004	0.173	0.1525	100.15	NAN	
560	0.1735	0.1515	99.65	NAN	
565	0.1735	0.151	99.65	NAN	
570	0.173	0.1515	100.15	NAN	
575	0.1745	0.152	98.65	NAN	
580.004	0.173	0.151	100.15	NAN	
585	0.174	0.1515	99.15	NAN	
590	0.1755	0.1515	97.65	NAN	
595	0.1745	0.15	98.65	NAN	
600	0.1745	0.145	98.65	NAN	
605.002	0.174	0.143	99.15	NAN	
610	0.175	0.14	98.15	NAN	
615	0.1745	0.1385	98.65	NAN	
620	0.1755	0.1365	97.65	NAN	
625	0.1755	0.1345	97.65	NAN	
630.001	0.174	0.1325	99.15	NAN	
635.008	0.1755	0.1285	97.65	NAN	
640	0.176	0.127	97.15	NAN	
645	0.176	0.123	97.15	NAN	
650	0.1755	0.1195	97.65	NAN	
655	0.176	0.1185	97.15	NAN	
660	0.1765	0.1175	96.65	NAN	
665.001	0.175	0.115	98.15	NAN	
670	0.1765	0.1145	96.65	NAN	
675	0.177	0.1125	96.15	NAN	
680	0.1765	0.112	96.65	NAN	
685	0.178	0.114	95.15	NAN	
690	0.1775	0.112	95.65	NAN	
695	0.176	0.11	97.15	NAN	
700	0.1765	0.108	96.65	NAN	
705	0.1775	0.106	95.65	NAN	
710	0.176	0.106	97.15	NAN	
715	0.1775	0.102	95.65	NAN	
720	0.1765	0.101	96.65	NAN	
725	0.177	0.098	96.15	NAN	
730	0.178	0.0965	95.15	NAN	
735	0.1775	0.0935	95.65	NAN	
740	0.178	0.09	95.15	NAN	
745	0.177	0.087	96.15	NAN	
750	0.178	0.087	95.15	NAN	
755	0.178	0.085	95.15	NAN	
760	0.1785	0.085	94.65	NAN	
765	0.179	0.0835	94.15	NAN	
770	0.1795	0.0815	93.65	NAN	
775	0.178	0.0815	95.15	NAN	
780	0.179	0.0805	94.15	NAN	
785	0.179	0.079	94.15	NAN	
790	0.179	0.079	94.15	NAN	
795	0.1795	0.0775	93.65	NAN	
800	0.18	0.075	93.15	NAN	
805	0.18	0.073	93.15	NAN	
810	0.182	0.0705	91.15	NAN	
815	0.1825	0.07	90.65	NAN	
820	0.184	0.0695	89.15	NAN	
825	0.1845	0.071	88.65	NAN	
830	0.186	0.07	87.15	NAN	
835	0.187	0.069	86.15	NAN	
840	0.1865	0.07	86.65	NAN	
845	0.187	0.0715	86.15	NAN	
850	0.186	0.069	87.15	NAN	
855	0.1855	0.0715	87.65	NAN	
860	0.1855	0.0715	87.65	NAN	
865	0.186	0.071	87.15	NAN	
870	0.187	0.071	86.15	NAN	
875	0.1875	0.073	85.65	NAN	
880	0.187	0.0725	86.15	NAN	
885	0.188	0.0695	85.15	NAN	
890	0.187	0.0725	86.15	NAN	
895	0.1875	0.073	85.65	NAN	
900	0.188	0.074	85.15	NAN	
905	0.1875	0.075	85.65	NAN	
910	0.188	0.075	85.15	NAN	
915	0.189	0.083	84.15	NAN	
920	0.189	0.0765	84.15	NAN	
925	0.189	0.08	84.15	NAN	
930	0.188	0.073	85.15	NAN	
935	0.1885	0.0705	84.65	NAN	
940	0.189	0.069	84.15	NAN	
945	0.1895	0.0695	83.65	NAN	
950	0.1885	0.071	84.65	NAN	
955	0.188	0.0715	85.15	NAN	
960	0.1875	0.0705	85.65	NAN	
965	0.1885	0.0725	84.65	NAN	
970	0.1885	0.0735	84.65	NAN	
975	0.189	0.073	84.15	NAN	
